Crop,N_min,N_max,P_min,P_max,K_min,K_max,temperature_min,temperature_max,humidity_min,humidity_max,ph_min,ph_max,rainfall_min,rainfall_max
apple,0,40,120,145,195,205,21,24,90,95,6,6,100,125
banana,80,120,70,95,45,55,25,30,75,85,6,6,90,120
blackgram,20,60,55,80,15,25,25,35,60,70,7,8,60,75
chickpea,20,60,55,80,75,85,17,21,14,20,6,9,65,95
coconut,0,40,5,30,25,35,25,30,90,100,131,226
coffee,80,120,15,40,25,35,23,28,50,70,6,7,115,199
cotton,100,140,35,60,15,25,22,26,75,85,6,8,61,100
grapes,0,40,120,145,195,205,9,42,80,84,6,6,65,75
jute,60,100,35,60,35,45,23,27,71,90,6,7,150,200
kidneybeans,0,40,55,80,15,25,15,25,18,25,6,6,60,150
lentil,0,40,55,80,15,25,18,30,60,70,6,8,35,55
maize,60,100,35,60,15,25,18,27,55,75,6,7,61,110
mango,0,40,15,40,25,35,27,36,45,55,5,7,89,101
mothbeans,0,40,35,60,15,25,24,32,40,65,4,10,31,74
mungbean,0,40,35,60,15,25,27,30,80,90,6,7,36,60
muskmelon,80,120,5,30,45,55,27,30,90,95,6,7,20,30
orange,0,40,5,30,5,15,10,35,90,95,100,120
papaya,31,70,46,70,45,55,23,44,90,95,40,249
pigeonpeas,0,40,55,80,15,25,18,37,30,70,5,7,90,199
pomegranate,0,40,5,30,35,45,18,25,85,95,103,112
rice,60,99,35,60,35,45,20,27,80,85,5,8,183,299
watermelon,80,120,5,30,45,55,24,27,80,90,6,7,40,60
